title,cluster,description,keywords
"Agenda - October 30, 2015",32,"October 30, 2015 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Planning, Zoning And Economic Development KCStat presention",6,"October 22, 2015 Planning, Zoning And Economic Development KCStat presentation.","plan, developer, focus, city, neighborhood, street"
Energy Star Certified Buildings in Kansas City,33,This data set lists ENERGY STAR certified buildings in Kansas City. Accessed 10/21/15.,"city, kansas, kansas, city, kansas, missouri"
LEED Certified Buildings Kansas City,33,This data set lists LEED certified buildings in Kansas City. Accessed 10/21/15.,"city, kansas, kansas, city, kansas, missouri"
"Impact of Street Plate Installations on Ride Quality and Safety Scope Statement - October 15, 2015",3,Are street plates installed to minimize their negative impact on ride quality and safety?,"downgrade, lists, april, presentation, public, group"
TAPS- Permit- Application 101315,13,Fillable DOC form for track access permit,"form, application, plan, permit, developer, neighborhood"
15-10-13 TAP- Process,31,Streetcar track access permit process one-sheet,"process, master, developer, land, program, permit"
TAPS- Permit- Application 101315,24,Streetcar track access permit application,"permit, buildings, new, application, construction, required"
"MWBE Primes And Subcontractors' Contracts Awarded (through May 31, 2015)",3,"MWBE Primes And Subcontractors' Contracts Awarded (through May 31, 2015)","downgrade, lists, april, presentation, public, group"
HRD Days To Process CUPs And Goals FY2015-16,31,HRD Days To Process CUPs And Goals FY2015-16,"process, master, developer, land, program, permit"
HRD Contract Compliance Prevailing Wage Payrolls Audited FY2015-16,0,HRD Contract Compliance Prevailing Wage Payrolls Audited FY2015-16,"audit, audit, focus, city, 's, management"
HRD Contract Compliance Prevailing Wage Performance Indicators FY2015-16,3,HRD Contract Compliance Prevailing Wage Performance Indicators FY2015-16,"downgrade, lists, april, presentation, public, group"
Construction Workforce Report August 2015,16,Construction Workforce Report August 2015,"reports, assessments, neighborhood, construction, annual, work"
CY 2013 EDC Business Survey for City of KCMO,33,"This report shows the aggregate results from the business survey conducted in 2013. Administration of the survey was conducted by ETC, Institute for the Economic Development of Kansas City and the City of Kansas City, Missouri.","city, kansas, kansas, city, kansas, missouri"
CY 2014 EDC Business Survey for City of KCMO,33,"This report shows the aggregate results from the business survey conducted in 2014.  The instrument for the 2014 survey changed substantially from previous years in an effort to provide data that is aligned better with improvement efforts.  Administration of the survey was conducted by ETC, Institute for the Economic Development of Kansas City and the City of Kansas City, Missouri.","city, kansas, kansas, city, kansas, missouri"
S & P Downgrade Of Bartle Hall Series E F Bonds 10.14.15,27,S & P Downgrade Of Bartle Hall Series 2008 E F Bonds,"bonds, notice, defeasance, water, master, downgrade"
Board_of_Zoning_Results_10-13-15,3,Board_of_Zoning_Results_10-13-15,"downgrade, lists, april, presentation, public, group"
"Corrected Posting In EMMA- Voluntary Notice Of Issuance, Special Obligation Series 2015A",21,Reposting of Voluntary Notice of Issuance of Special Obligation Series 2015A as is posted in EMMA (reposting 07/08/2015,"obligation, special, b, notice, downgrade, defeasance"
MWBE Annual Report 2015,16,Human Relations Department Minority Women Business Enterprise Annual Report 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report July 2015,16,Construction Workforce Report July 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report June 2015,16,Construction Workforce Report June 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction  Workforce Report March 2015,16,Construction  Workforce Report March 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report February 2015,16,Construction Workforce Report February 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report May 2015,16,Construction Workforce Report May 2015,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report April 2015,16,Construction Workforce Report April 2015,"reports, assessments, neighborhood, construction, annual, work"
311 Call Center Service Requests,34,"This data set contains call record data from the 311 call center in Kansas City, MO. This dataset used to be published under the name ""KCMOPS311"". This name was changed to make the dataset name more reflective of it's contents.","data, traffic, st, traffic, census, city"
City_Plan_Commission_Results_10-6-15,3,City_Plan_Commission_Results_10-6-15,"downgrade, lists, april, presentation, public, group"
KCMO CPD Department Analysis - Implementation Matrix Of Department Recommendations Progress Plan 10-5-15 On Line Version,29,KCMO CPD Department Analysis - Implementation Matrix Of Department Recommendations Progress Plan 10-5-15 On Line Version,"kcmo, census, data, reports, map, department’s"
TIFMAP May2015,3,TIFMAP May2015,"downgrade, lists, april, presentation, public, group"
2015 One Year Plan Amendment #2,3,"Adds $600,000 to the City Home Repair Program from receipted program income","downgrade, lists, april, presentation, public, group"
20151007 2015 Governance Assessment Responses from Previous Non-Reporting Boards,0,This audit was conducted in order to include the governance practices of the boards and commissions that had previously not responded to the governance checklist.,"audit, audit, focus, city, 's, management"
KCMO Sustainability Rpt 2013,3,Update on sustainability activities as of 2013,"downgrade, lists, april, presentation, public, group"
KCMO Climate Protection Plan - July 2008,33,Kansas City's first adopted plan to address climate change and greenhouse gas emissions reduction,"city, kansas, kansas, city, kansas, missouri"
"Aug, 2015",16,August Financial Report 2015,"reports, assessments, neighborhood, construction, annual, work"
Future Bidding Opportunities,3,This is a list of possible future contracting opportunities.  Please note this disclaimer about the opportunities listed;  they may not represent all future opportunities and any that are listed are subject to change for any reason.  The best way to find out more about these opportunities is to contact the person that is associated with that particular project.  If you need further assistance please contact Brian Hernandez (Supplier Relations Coordinator) at brian.hernandez@kcmo.org or by office phone 816-513-0809  or 816-335-5864 Cell Phone in Procurement Services.,"downgrade, lists, april, presentation, public, group"
Daily Call Activity Report,3,311 Call Center Statistics,"downgrade, lists, april, presentation, public, group"
FY 2015-16 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2013-14 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2014-15 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2011-12 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2010-11 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2009-10 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2012-13 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2008-09 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2007-08 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2006-07 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2005-06 Adopted Budget,14,Budget,"budget, policy, 's, year, code, plan"
FY 2004-05 Adopted Budget,22,FY 2004-05 Adopted Budget,"fy, reports, audit, water, budget, annual"
Animal Health and Public Safety's Enforcement Process,3,Enforcement Process for the Animal Health and Public Safety Division of the Neighborhoods and Housing Services Department. Taken from a presentation Powerpoint by the Division.,"downgrade, lists, april, presentation, public, group"
Domestic Animal Avocation Renewal Permit,24,"Owners of hobby kennels, hobby catteries, rescue kennels or rescue catteries must have a special permit from the Animal Health and Public Safety Office. The permit allows up to 10 dogs or 10 cats older than 180 days. Written consent is required from all owners and tenants of any lots within 150 feet of the applicant's property for a hobby kennel and within 50 feet for a hobby cattery. For a rescue permit, applicants also will also need to obtain a license from the State of Missouri. There is a $100 annual permit fee and an annual inspection of any private property used for keeping animals prior to renewal.","permit, buildings, new, application, construction, required"
Solar Ready Construction Guidelines,3,Solar Ready Construction Guidelines,"downgrade, lists, april, presentation, public, group"
KCMO EMS Protocols - Revised Stroke Hospital Destination Decision Matrix- Final-04-13-15,29,KCMO EMS Protocols - Revised Stroke Hospital Destination Decision Matrix- Final-04-13-15,"kcmo, census, data, reports, map, department’s"
KCMO EMS Protocols - Medication Infusions During Interfacility Transport- Final-01-30-15,29,KCMO EMS Protocols - Medication Infusions During Interfacility Transport- Final-01-30-15,"kcmo, census, data, reports, map, department’s"
KCMO EMS Protocols - Intravenous Fluids- Interchangeability Of Solutions- FINAL-08-11-14,29,KCMO EMS Protocols - Intravenous Fluids- Interchangeability Of Solutions- FINAL-08-11-14,"kcmo, census, data, reports, map, department’s"
KCMO EMS Protocols - Spinal Motion Restriction Combined Protocol And Procedure- FINAL-08-18-14,29,KCMO EMS Protocols - Spinal Motion Restriction Combined Protocol And Procedure- FINAL-08-18-14,"kcmo, census, data, reports, map, department’s"
KCMO EMS Protocols - Pacing Revisions- FINAL-08-16-13,29,KCMO EMS Protocols - Pacing Revisions- FINAL-08-16-13,"kcmo, census, data, reports, map, department’s"
S& P Downgrade Sumitomo Mitsui Banking 9.17.15,3,KMAC Bartle Hall Series 2008E & F,"downgrade, lists, april, presentation, public, group"
Paseo Gateway Choice Neighborhoods Tranc,33,"The Housing Authority of Kansas City and the City of Kansas City have been selected to receive a Fiscal Year 2014-15 Choice Neighborhoods Implementation Grant. The $30,000,000 grant from the U.S. Department of Housing and Urban Development (HUD) will support the demolition and construction of replacement housing for Chouteau Courts Apartments in the Paseo Gateway Neighborhood.","city, kansas, kansas, city, kansas, missouri"
Board_of_Zoning_Adjustment_Results_9-22-15,3,Board_of_Zoning_Adjustment_Results_9-22-15,"downgrade, lists, april, presentation, public, group"
IB162 Permit Application Req For Solar Panel Installations,24,IB162 Permit Application Req For Solar Panel Installations,"permit, buildings, new, application, construction, required"
Residential Photovoltaic System Application And Checklist,18,Residential Photovoltaic System Application And Checklist,"application, program, street, plan, commission, city"
AED Registrations,29,"Locations of registered AED's in KCMO. Find out more http://goo.gl/hZlzPr  Automatic External Defibrillator or “AED” means an external defibrillator 
capable of cardiac rhythm analysis that will charge and, with operator action, deliver a shock after electronically detecting that a “shockable rhythm” is present.","kcmo, census, data, reports, map, department’s"
PMAB Application,18,"Property Maintenance Appeals Board - Application for Hearing. 
NOTE: Before you fill out the application and send in your $50 fee, it is best to speak to the inspector and/or their supervisor to see if an informal extension can be granted instead.","application, program, street, plan, commission, city"
Board_of_Zoning_Adjustment_Approved_Minutes-06-23-15,3,Board_of_Zoning_Adjustment_Approved_Minutes-06-23-15,"downgrade, lists, april, presentation, public, group"
"Large Buildings in Kansas City, Missouri (2015)",33,"This dataset contains descriptive and spatial information for the largest buildings in Kansas City, Missouri. Columns A through I comply with the Building Energy Data Exchange Specification (BEDES), which is a data dictionary for commonly used terms pertaining to energy management.","city, kansas, kansas, city, kansas, missouri"
July 2015 Report,16,July 2015 Financial Report,"reports, assessments, neighborhood, construction, annual, work"
City_Plan_Commission_Results_9-15-15,3,City_Plan_Commission_Results_9-15-15,"downgrade, lists, april, presentation, public, group"
Summer- Fall 2015 Construction Progress Photos,3,"Construction progress photos for three projects. Oak Point, Ivanhoe - 39th Street Gateway and Faxon School Apartments","downgrade, lists, april, presentation, public, group"
"Agenda - September 25, 2015",32,"September 25, 2015 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
Approved Ready- Mix Concrete Plants List SEP2015,3,"Approved ready-mix concrete plant list - accurate as of September 18, 2015","downgrade, lists, april, presentation, public, group"
FY 2016-2021 Citywide Business Plan,22,FY 2016-2021 Citywide Business Plan,"fy, reports, audit, water, budget, annual"
City_Plan_Commission_Approved_Minutes-6-16-15,3,City_Plan_Commission_Approved_Minutes-6-16-15,"downgrade, lists, april, presentation, public, group"
"Succession Planning Scope Statement September 16, 2015",6,"Has the city developed a succession plan to maintain institutional knowledge, expertise, and leadership continuity?","plan, developer, focus, city, neighborhood, street"
Total Trash And Recycling Collected,3,Total Trash And Recycling Collected,"downgrade, lists, april, presentation, public, group"
Board_of_Zoning_Results-09-08-15,3,Board_of_Zoning_Results-09-08-15,"downgrade, lists, april, presentation, public, group"
Midtown Plaza Area Plan Final Doc 9/11/2015,17,Midtown Plaza Area Plan Final Doc 9/11/2015,"area, area, plan, map, industries, presentation"
Board_of_Zoning_Adjustment_Approved_Minutes_06-09-15,3,Board_of_Zoning_Adjustment_Approved_Minutes_06-09-15,"downgrade, lists, april, presentation, public, group"
Board_of_Zoning_Adjustment_Approved_Minutes-5-26-15,3,Board_of_Zoning_Adjustment_Approved_Minutes-5-26-15,"downgrade, lists, april, presentation, public, group"
Inflow and Infiltration Reduction by Water Services Department,3,Inflow and Infiltration Reduction by Water Services Department,"downgrade, lists, april, presentation, public, group"
Potential Road Diets as of 9.10.15,3,This is a list of streets that were examined for road diet feasibility by the Public Works Department. Not all streets on the list were found to be feasible.,"downgrade, lists, april, presentation, public, group"
Application For Catering Notification Form,13,This form is used for CURRENTLY LICENSED CATERERS to notify Regulated Industries of upcoming or pending catering events.,"form, application, plan, permit, developer, neighborhood"
Checklist For Carnivals Street Fairs And Rodeos,3,"Checklist to host/sponsor a carnival, street fair or rodeo","downgrade, lists, april, presentation, public, group"
2009-2013 American Community Survey Detailed Block Group Data,5,detailed characteristics of people and housing for individual 2010 census block groups,"characteristics, characteristics, people, people, characteristics, housing"
2009-2013 American Community Survey Detailed Census Tract Data,5,detailed characteristics of people and housing for individual 2010 census tract portions inside or outside KCMO,"characteristics, characteristics, people, people, characteristics, housing"
City Wide Water and Sewer Main Replacement,3,This data set contains the miles of completed water main replacement that has occurred in past (and current) fiscal years. These operations are carried out by the Water Services Department.,"downgrade, lists, april, presentation, public, group"
Citizen Satisfaction Recyling Frequency Data,3,This dataset contains data from the annual citizen survey from a question that asks people how frequently they recycle.,"downgrade, lists, april, presentation, public, group"
2009-2013 American Community Survey Basic Block Group Data,5,basic characteristics of people and housing for individual 2010 census block groups,"characteristics, characteristics, people, people, characteristics, housing"
2009-2013 American Community Survey Basic Census Tract Data,5,basic characteristics of people and housing for individual 2010 census tract portions inside or outside KCMO,"characteristics, characteristics, people, people, characteristics, housing"
2014 KCPD Annual Report,16,2014 KCPD Annual Report,"reports, assessments, neighborhood, construction, annual, work"
Housing Projects in River-Crown-Plaza 1984 to August 2015,3,"listing of residential development projects completed, underway or proposed and their characteristics","downgrade, lists, april, presentation, public, group"
Major Development Projects 1990 to August 2015,3,"listing of major development projects completed, underway or approved and their characteristics","downgrade, lists, april, presentation, public, group"
"Road, Bridge, and Street Lighting Overall Condition",3,"This data set contains asset ratings for the City's Roads, Bridges, and Street Lighting systems. This data is Citywide, and not granular to a specific piece of infrastructure. This is the same information that is reported to the Government Accounting Standards Board (GASB).

Public Works has established a program to evaluate the condition of all pavements. The name of the program is the Street Distress Rating System (SDRS). This program rates all segments of pavement over a three year period. The program measures actual physical defects in the pavement system which can be observed and quantified through visual inspection of the roadway surface. Broad categories include cracking, patching, depression, and surface wear. The system calculates the Pavement Condition Index representing a value ranging from ""0"" to ""100"". The department's intent is to achieve and retain a system-wide average value of not less than ""60"". The value below 80 represents a system that needs repairs, and improvements. A rating of ""90"" to ""100"" would show an excellent condition, ""80"" to ""89"" good condition, ""70"" to ""79"" fair condition, and below ""70"", poor condition.

The condition of bridges is measured using the Federal Highway Administration Rating System. The Federal system uses a measurement scale that is based on a condition index ranging from zero for a failed bridge to 100 for a bridge in perfect condition.  The condition index is used to classify bridges and culverts in good or better condition (65 and 75 on up, respectively), fair condition (45 to 65) and substandard condition (less than 45).  It is the City’s policy to maintain, on average, at least 75 percent of its bridge system at a good or better condition level.  No more than 10 percent should be in the substandard condition.  Condition assessments are determined every other year.  All bridges are rated at least once every two years.

The condition of street lighting is measured using a system designed by the City. The system uses a measurement scale that is based on an assigned condition index to a streetlight of zero for failing or 100 for passing each measured factor and measures 16 different factors.  The condition index is used to classify street lighting in better condition ( 90 and up), good condition ( 80 to 89) and substandard condition (less than 80).  It is the City’s policy to maintain an overall average of at least 90 percent condition rating (better condition rating) for the entire street light system.  No more than 10 percent of the entire street lighting system should be below the better condition rating.  Condition assessments are determined every year.  Street lights are selected for condition assessments systematically by private contractor hired to assess and immediately repair all street lights inspected.  The plan is to have 100 percent of all street lights inspected, with corresponding repairs, every two years.","downgrade, lists, april, presentation, public, group"
Paint Application 2015 - 2016 ( Fillable),18,Paint Application,"application, program, street, plan, commission, city"
Capital Improvements 1996 to 2015,3,listing of projects in the City's Capital Improvements Budget and their characteristics,"downgrade, lists, april, presentation, public, group"
2009-2013 American Community Survey Median Income Block Groups Map,30,map of median income for each census block group,"map, use, land, census, developer, plan"
KCMO Crime 1984 to 2014- Example Report,29,crime rates by year and types of crime at 10-year intervals - KCMO example of report that can be custom-made for varying areas,"kcmo, census, data, reports, map, department’s"
Crimes by Type by 2000 Block - 2008 to 2014,3,tabulation of crimes by type for each 2000 census block,"downgrade, lists, april, presentation, public, group"
"Building Permit Activity for January to June, 2015",24,"charts, maps and tables of building permits for new construction, demolition and additions/alterations/repairs","permit, buildings, new, application, construction, required"
Approved_City_Pan_Commission_Minutes _6-2-15,3,Approved_City_Pan_Commission_Minutes _6-2-15,"downgrade, lists, april, presentation, public, group"
Approved_City_Plan_Commission_Minutes_04-21-15,3,Approved_City_Plan_Commission_Minutes_04-21-15,"downgrade, lists, april, presentation, public, group"
2015 January to June Building Permit Listing,24,"listing of building permits for new construction, demolition and additions/alterations/repairs and their characteristics","permit, buildings, new, application, construction, required"
2014 Building Permit Listing,24,"listing of building permits for new construction, demolition and additions/alterations/repairs and their characteristics","permit, buildings, new, application, construction, required"
City Owned Parcels,33,"This is a list of parcels owned by the City of Kansas City, Missouri.","city, kansas, kansas, city, kansas, missouri"
Mun Farm SCDA Final Presentation (v 1.6),3,Mun Farm SCDA Final Presentation (v 1.6),"downgrade, lists, april, presentation, public, group"
KCSA Streetcar Presentation Business Session 20150827,3,KCSA Streetcar Presentation Business Session 20150827,"downgrade, lists, april, presentation, public, group"
Animal Control 321 Van Brunt Boulevard- Case 3503538,3,Animal Control 321 Van Brunt Boulevard- Case 3503538,"downgrade, lists, april, presentation, public, group"
GO 2007 A Notice Of Defeasance EP864043- EP669074- EP1070952,21,"General Obligation Series 2015A Notice of Defeasance and ""No Longer Obligated Person""","obligation, special, b, notice, downgrade, defeasance"
Arena 2008 D Bond Call 03-01-2014 EA706344- EA554456- EA950836,27,Special Obligation Series 2008D (Bond Call on Term Bonds) for 04-01-2015,"bonds, notice, defeasance, water, master, downgrade"
Final GO 2015 A OS EP860360- EP666518- EP1068315,21,General Obligation Series 2015A OS,"obligation, special, b, notice, downgrade, defeasance"
