title,cluster,description,keywords
2013-2017 Council And Committee Meetings - Attendance,9,"Roll call for Council and Committee meetings. If a member of Council or the Committee attends for any portion of the meeting, they will be show as ‘present’. Only if a Councillor or member of Committee is not present for any portion of the meeting will they be shown as ‘absent’. For Committees, only the members of the Committee are listed as ‘present’ or ‘absent’. Other Councillors attending the meeting are shown as ‘Others Attending’ in the minutes.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
Developer Arterial Projects,4,When an independent developer begins a residential or commercial project they also develop the roadways to accommodate any traffic impact from the future development. These projects are funded and managed exclusively by the developer. It is the City of Edmonton’s responsibility to ensure the developers are complying with the approved standards and specifications.,"edmonton, city, developer, 's, data, dataset"
Mosquitoes Trap Data,4,"Capture results of mosquitoes from various locations in Edmonton.  These collections are from standard New Jersey light traps that are commonly used to record changes in abundance of mosquitoes before and after control campaigns and to compare seasonal and annual fluctuations in population.  Since not all mosquito species are attracted equally to light traps, the City uses a variety of other trapping and survey methods (with their own limitations) to monitor mosquitoes. Not all trap collection sites are factored into the historical averages. Some data can be incomplete due to trap failure. Some trap locations change over time. Trap collections reflect, not absolute population levels, but mosquito activity, which is influenced by changing environmental conditions (temperature, humidity, wind, etc.). The weekly averages do not include any male mosquitoes or any females of species that do not typically bite people. Each data set reflects the mosquito activity of the week previous to the collection date. To complement this dataset, there is the Rainfall Guage data which measures rainfall data in the Greater Edmonton area - https://data.edmonton.ca/Environmental-Services/Rainfall-Gauge-Results/7fus-qa4r/edit_metadata","edmonton, city, developer, 's, data, dataset"
2015 Edmonton Public School Board By-Election - Results Detail (by Voting Station),1,"Official Results from the 2015 Edmonton School Board By-Election (Ward G). Results are displayed for each Candidate, by Race and by Voting Station.","list, edmonton, schools, fields, city, fields"
City Engagement - Edmonton Insight Community,2,"This was one single topic among many as part of the March Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=219&t=1. Open from March 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2351 Insight Community Members. 1137 members completed the survey which represents a completion rate of 48%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Public Libraries,1,List of public libraries in Edmonton,"list, edmonton, schools, fields, city, fields"
Rainfall Gauge Results,7,The collection of significant rainfall measurements in the greater Edmonton area during the summer period.  This data is used to assist in the mosquito control program. Mosquito Trap Data can be found at  - https://data.edmonton.ca/Environmental-Services/Mosquitoes-Trap-Data/5zeu-wkpv,"measures, graffiti, rainfall, performance, performance, perceptions"
Recreation Facilities With Drop-In Programs - Facility Information,11,Recreation Facilities with Drop-In Programs - Facility Information,"recreation, facilities, facilities, data, class, data"
CoE Website Redesign - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Edmontonians' Perception Survey - Volunteerism,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Edmontonians' Perception Survey - Connectedness,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Edmontonians' Perception Survey - Safety In The City,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Edmontonians' Perception Survey - Access to Amenities and Services that Improve Quality of Life,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Edmontonians' Perception Survey - City Design And Attractiveness,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Edmontonians' Perception Survey - Overall Quality Of Life,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Measuring Progress Questionnaire - Overall Quality Of Life,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Measuring Progress Questionnaire - Park Usage,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Edmontonians' Perception Survey - Park Usage,7,"In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.

This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures. 

Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to: 
- Measure the progress with respect to the key performance measures
- Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved.
- Make comparisons with past measures wherever applicable","measures, graffiti, rainfall, performance, performance, perceptions"
Measuring Progress Questionnaire - Volunteerism,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Measuring Progress Questionnaire - Connectedness,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Measuring Progress Questionnaire - Safety In The City,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Measuring Progress Questionnaire - Access to Amenities and Services that Improve Quality of Life,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Measuring Progress Questionnaire - City Design And Attractiveness,2,"This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.","survey, members, completed, insight, insight, community"
Animals Admitted to the Animal Care & Control Centre,4,Animals Admitted to the Animal Care & Control Centre,"edmonton, city, developer, 's, data, dataset"
Child Friendly Downtown - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
ETS Bus Schedule GTFS Data Feed - Non Realtime - zipped files,4,"NON REALTIME data made available for developers to use in the development of transit information.
These files follow the GTFS specification but do not match the GTFS real time data feed. This GTFS feed will be retired in the future, and is replaced by ETS Bus Schedule GTFS Data Feed - zipped files  open data set","edmonton, city, developer, 's, data, dataset"
Garbage Collection Schedule - Map View,4,"To provide the day of the week when garbage collection will happen for a particular area. Weekly waste collection started February 5, 2013. Your collection day will remain the same year-round. Effective June 22, 2015; some changes to the schedule come into effect.","edmonton, city, developer, 's, data, dataset"
New Years Eve Downtown - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
City of Edmonton Corporate Boundary (Tableau),8,"City of Edmonton Corporate Boundary. CSV file with columns for Point ID, Latitude, Longitude, and Order. All columns are used to draw the boundary in Tableau","id, point, longitude, longitude, latitude, latitude"
Municipal Ward Boundaries (Tableau),8,"Boundaries for each Edmonton neighbourhood. CSV file with columns for Point ID, Neighbourhood ID, Neighbourhood Name, Latitude, Longitude, and Order. 

Point ID, Latitude, Longitude, and Order are used to draw the boundaries in Tableau.","id, point, longitude, longitude, latitude, latitude"
Storm Water Lakes Boundaries (Tableau),8,"CSV file with columns for Point ID, Lake ID, Lake Name, Latitude, Longitude, and Order. 

Point ID, Latitude, Longitude, and Order are used to draw the boundaries in Tableau.","id, point, longitude, longitude, latitude, latitude"
EPSB Ward Boundaries (Tableau),8,"Boundaries for each Edmonton Public School Board ward. CSV file with columns for Point ID, Ward Name, Latitude, Longitude, and Order. 

Point ID, Latitude, Longitude, and Order are used to draw the boundaries in Tableau.","id, point, longitude, longitude, latitude, latitude"
ECSD Ward Boundaries (Tableau),8,"Boundaries for each Edmonton Catholic School District ward. CSV file with columns for Point ID, Ward Name, Latitude, Longitude, and Order. 

Point ID, Latitude, Longitude, and Order are used to draw the boundaries in Tableau.","id, point, longitude, longitude, latitude, latitude"
Historical Buildings,1,List of all historical buildings in Edmonton,"list, edmonton, schools, fields, city, fields"
ETS Bus Schedule GTFS Data Feed - Trips,1,This dataset lists all trips and their routes in Edmonton. A trip is a sequence of two or more stops that occurs at specific time.,"list, edmonton, schools, fields, city, fields"
ETS Bus Schedule GTFS Data Feed - Transfers,1,List of transfer points for various bus stops in Edmonton,"list, edmonton, schools, fields, city, fields"
ETS Bus Schedule GTFS Data Feed - Stops,1,List of all transit bus stops in Edmonton,"list, edmonton, schools, fields, city, fields"
ETS Bus Schedule GTFS Data Feed - Stop Times,1,This dataset lists the times that a vehicle arrives at and departs from individual stops for each trip in Edmonton.,"list, edmonton, schools, fields, city, fields"
Neighbourhood Boundaries (Tableau),8,"Boundaries for each Edmonton neighbourhood. CSV file with columns for Point ID, Neighbourhood ID, Neighbourhood Name, Latitude, Longitude, and Order. Point ID, Latitude, Longitude, and Order are used to draw the boundaries in Tableau.","id, point, longitude, longitude, latitude, latitude"
ETS Bus Schedule GTFS Data Feed - Calendar Dates,12,To provide a list a dates when there will be changes to regular service in Edmonton.,"service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
ETS Bus Schedule GTFS Data Feed - Agency,1,This dataset lists the GTFS agency information of Edmonton Transit System (ETS).,"list, edmonton, schools, fields, city, fields"
Drones - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
What Moves You: Let's Talk Transit  - Edmonton Insight Community,2,"This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Property Information Data,4,"This dataset is information of properties within the City of Edmonton. It is effective from January 1st, 2015 until December 31st, 2015.

The information is collected for property assessment interpretation purposes only. 
The City of Edmonton does not warrant or guarantee the completeness and accuracy of the information presented. 

The City of Edmonton does not assume responsibility nor accept any liability arising from any use of the information other than for property assessment interpretation.","edmonton, city, developer, 's, data, dataset"
Property Assessment Data,4,"This dataset is the assessed value of properties within the City of Edmonton. It is effective from January 1st, 2015 until December 31st, 2015.

The information is collected for property assessment interpretation purposes only. 

The City of Edmonton does not warrant or guarantee the completeness and accuracy of the information presented. 
The City of Edmonton does not assume responsibility nor accept any liability arising from any use of the information other than for property assessment interpretation.","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Historical 6 Ward Boundaries,6,Spatial view of previous City of Edmonton's six (6) political Ward boundaries,"spatial, spatial, view, spatial, current, ward"
Edmonton Public Schools (2015 - 2016),1,List of all public schools in Edmonton for the 2015-2016 school year,"list, edmonton, schools, fields, city, fields"
Seniors Centres,1,List of senior centres in Edmonton,"list, edmonton, schools, fields, city, fields"
Arenas,1,List of ice arenas maintained by the City of Edmonton,"list, edmonton, schools, fields, city, fields"
Track Sports Fields,1,List of track sports fields in Edmonton,"list, edmonton, schools, fields, city, fields"
Rugby Fields,1,List of rugby fields in Edmonton,"list, edmonton, schools, fields, city, fields"
Mosquitoes Trap Locations,4,Location of mosquito trap locations in Edmonton for 2011 and 2012 collection seasons. Note: Geographic coordinates are only an approximation. a map view can be found at: https://data.edmonton.ca/Environmental-Services/Mosquitoes-Trap-Locations-Map-View/g2ht-buzt,"edmonton, city, developer, 's, data, dataset"
Outdoor Swimming Pools,1,List of all outdoor swimming pools in Edmonton,"list, edmonton, schools, fields, city, fields"
Cricket Fields,1,List of cricket fields in Edmonton,"list, edmonton, schools, fields, city, fields"
Recycling Directory,1,List of all locations of businesses that take specific items for either recycling or disposal.,"list, edmonton, schools, fields, city, fields"
Police Stations,1,List of all police stations in Edmonton,"list, edmonton, schools, fields, city, fields"
Parkland,1,List of all parkland spaces in Edmonton,"list, edmonton, schools, fields, city, fields"
Recreation Centres,1,List of all recreational centres owned by the City of Edmonton,"list, edmonton, schools, fields, city, fields"
Green Technology Directory,1,List of  locations that are involved in the use of green technology in the Edmonton Area,"list, edmonton, schools, fields, city, fields"
"Really Grate Tree Project, Soil Analysis (2010-2013)",4,"Sidewalk trees are notoriously short lived. They grow in difficult environments, but where they are greatly appreciated: high density urban hardscapes. We proposed and executed the Really Grate Tree Project to help us understand how these trees survive and to experiment with methods to improve their growth. Soil data was collected from each tree in both the spring and fall, from 2010 to 2013 at three depths: 0-15cm, 15-30cm, and 30-45cm.
NOTE: Tree 1021501 was completely broken off at ~ 20 cm height sometime near the beginning of 2012 and was replaced with a new elm at that site during the summer of 2012.","edmonton, city, developer, 's, data, dataset"
Indoor Swimming Pools,1,List of indoor swimming pools in Edmonton,"list, edmonton, schools, fields, city, fields"
2011 Graffiti Audit,7,"In 2010, Capital City Clean Up initiated a Graffiti Vandalism Audit to assess the amount of graffiti vandalism found in the neighbourhoods in Edmonton with the highest reported incidences of graffiti.  A follow-up audit was completed in 2011 to determine if there were significant changes to the amount of graffiti found.  This data set is result of the 2011 Graffiti Vandalism Audit. You can view the report at: http://www.edmonton.ca/environmental/documents/GraffitiVandalismAudit.pdf","measures, graffiti, rainfall, performance, performance, perceptions"
Ball Diamonds,1,List of all baseball diamonds in Edmonton,"list, edmonton, schools, fields, city, fields"
Wading Pools,1,List of all wading pools in Edmonton,"list, edmonton, schools, fields, city, fields"
Soccer Fields,1,List of all soccer fields maintained by the City of Edmonton,"list, edmonton, schools, fields, city, fields"
Spray Parks,1,List of all spray parks in Edmonton,"list, edmonton, schools, fields, city, fields"
Youth Services - Directory,12,Directory of agencies that provide services to youth in the Greater Edmonton Area.,"service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
Traffic Disruptions,4,"This dataset provides information about what's happening on Edmonton's roads that could impact your drive, including:
Major road closures and detours, Road construction, Travel delays and special events that impact traffic.","edmonton, city, developer, 's, data, dataset"
Playgrounds,1,List of all playgrounds in Edmonton,"list, edmonton, schools, fields, city, fields"
Tennis Courts,1,List of all public tennis court(s) locations in Edmonton,"list, edmonton, schools, fields, city, fields"
City Golf Courses,1,List of golf courses in Edmonton,"list, edmonton, schools, fields, city, fields"
Intersection Collision Summary (2010 - 2011),10,"This file contains information about all intersections in Edmonton with 25 or more collisions in from 2010 to 2011, including:
- The collision rate, where available;
- A summary of the number of minor and major injuries as well as fatalities;
- A breakdown of collisions by the standard list of causes used in reporting.

Collision information is provided by the Motor Vehicle Collision Information System (MVCIS), maintained by the City of Edmonton Office of Traffic Safety. This system tracks police-reported collisions involving at least one motor vehicle that occur on public roadways and which result in property damage of $1,000 or more, as well as any collisions resulting in injury or fatality. 

This file is meant as a companion piece to the Annual Collision Report, produced by the City of Edmonton Office of Traffic Safety. Please refer to the full report for more information on collisions in Edmonton, and definitions of the collision causes and injury types used in this file.","collisions, reporting, outline, annual, open, injuries"
Bylaw Infractions,4,"Total number of citizen complaint driven or officer initiated snow on City sidewalk, nuisance property, graffiti, noxious weeds, and business licence Bylaw investigations","edmonton, city, developer, 's, data, dataset"
WiFi Locations in Edmonton,1,This an on-going program to provide a comprehensive list of WiFi locations in Edmonton.,"list, edmonton, schools, fields, city, fields"
Community League Halls,1,List of all Community League Halls in Edmonton,"list, edmonton, schools, fields, city, fields"
ETS - Bus Stops by Landmarks,1,"List of  Edmonton Transit bus stop id numbers clustered around prominent City of Edmonton landmarks, as used in the ETS Trip Planner.","list, edmonton, schools, fields, city, fields"
Sandboxes,1,A list of all City of Edmonton - Department of Transportation maintained sandboxes. These sandboxes are available for the general public to use during the winter period.,"list, edmonton, schools, fields, city, fields"
Land Sales,4,"City of Edmonton's properties for sale, ranging from single family lots and houses to multi-use commercial and industrial sites.","edmonton, city, developer, 's, data, dataset"
Trees,1,"List of all trees owned and maintained by the City of Edmonton. Note - There are about 320,000 records. It may take some time to load everything.","list, edmonton, schools, fields, city, fields"
Temporary Signs,4,Inventory of current and future development permits for temporary on-premises and off-premises signs issued by the City of Edmonton on private property.,"edmonton, city, developer, 's, data, dataset"
Property Tax Contact - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=417&t=1. Open from July 13 - 21, 2015. At the time the survey was launched survey invitations were sent to 3130 Insight Community Members. 1296 members completed the survey which represents a completion rate of 41%. A total of 1348 respondents completed the survey: 1296 Insight Community Members and 52 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Liquor Stores - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=417&t=1. Open from July 13 - 21, 2015. At the time the survey was launched survey invitations were sent to 3130 Insight Community Members. 1296 members completed the survey which represents a completion rate of 41%. A total of 1348 respondents completed the survey: 1296 Insight Community Members and 52 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Insight Community App - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=417&t=1. Open from July 13 - 21, 2015. At the time the survey was launched survey invitations were sent to 3130 Insight Community Members. 1296 members completed the survey which represents a completion rate of 41%. A total of 1348 respondents completed the survey: 1296 Insight Community Members and 52 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
City of Edmonton Administration - Salary Ranges by Job Title,4,"This data-set is a listing of all active City of Edmonton Administration job titles, complete with salary range and number of positions. Data Owner: Human Resources. Frequency: Data is updated semi-annually. Note - More than one (1) employee can be in a position.","edmonton, city, developer, 's, data, dataset"
Mobile App - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Parks July 2014 - Edmonton Insight Community,2,"This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
